"","Country","SubRegion","X2020","X2021","Region","big2021","top10","top20"
"4","Angola","sub-Saharan Africa",993.6,981.5,"Africa","FALSE",FALSE,FALSE
"89","Latvia","Central Europe",742,826.6,"Europe","TRUE",FALSE,FALSE
"50","Estonia","Central Europe",718.1,764,"Europe","TRUE",FALSE,FALSE
"13","Belarus","Eastern Europe",707.4,762.8,"Europe","TRUE",FALSE,FALSE
"156","Tanzania","sub-Saharan Africa",659.3,742.3,"Africa","TRUE",FALSE,FALSE
"141","Slovenia","Central Europe",567.7,734.4,"Europe","TRUE",FALSE,FALSE
"26","Cambodia","South East Asia",647,643.4,"AsiaOceania","FALSE",FALSE,FALSE
"36","Cote d'Ivoire","sub-Saharan Africa",607.2,637.7,"Africa","TRUE",FALSE,FALSE
"18","Bolivia","South America",510.5,625.3,"South America","TRUE",FALSE,FALSE
"7","Armenia","Eastern Europe",634,619.4,"Europe","FALSE",FALSE,FALSE
"44","Dominican Rep.","Central America and the Caribbean",599.1,581.6,"Central America","FALSE",FALSE,FALSE
"100","Mali","sub-Saharan Africa",593.9,558.4,"Africa","FALSE",FALSE,FALSE
"20","Botswana","sub-Saharan Africa",499,517.8,"Africa","TRUE",FALSE,FALSE
"39","Cyprus","Western Europe",483.4,517.5,"Europe","TRUE",FALSE,FALSE
"52","Ethiopia","sub-Saharan Africa",504.1,487.8,"Africa","FALSE",FALSE,FALSE
"137","Senegal","sub-Saharan Africa",345.6,474,"Africa","TRUE",FALSE,FALSE
"95","Luxembourg","Western Europe",405.8,460,"Europe","TRUE",FALSE,FALSE
"24","Burkina Faso","sub-Saharan Africa",382.5,458.3,"Africa","TRUE",FALSE,FALSE
"22","Brunei","South East Asia",436.5,453.3,"AsiaOceania","TRUE",FALSE,FALSE
"111","Nepal","South Asia",435.5,445.2,"AsiaOceania","TRUE",FALSE,FALSE
"27","Cameroon","sub-Saharan Africa",393.3,443.3,"Africa","TRUE",FALSE,FALSE
"70","Honduras","Central America and the Caribbean",350.4,438.1,"Central America","TRUE",FALSE,FALSE
"110","Namibia","sub-Saharan Africa",368.2,401.9,"Africa","TRUE",FALSE,FALSE
"47","El Salvador","Central America and the Caribbean",343.9,382.6,"Central America","TRUE",FALSE,FALSE
"149","Sudan","sub-Saharan Africa",934.3,375.2,"Africa","FALSE",FALSE,FALSE
"125","Paraguay","South America",364.3,372.6,"South America","TRUE",FALSE,FALSE
"65","Guatemala","Central America and the Caribbean",342.8,341.8,"Central America","FALSE",FALSE,FALSE
"30","Chad","sub-Saharan Africa",322.9,331,"Africa","TRUE",FALSE,FALSE
"58","Gabon","sub-Saharan Africa",263.5,311.5,"Africa","TRUE",FALSE,FALSE
